Time,X,Y,Z,Phi,Theta,Psi,U,V,W,P,Q,R,Speed,Beta_c,Alpha_c,Chi,delta_r,delta_s,n_prop
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0059988001599831,1525.0
0.02,-2.1401284549826075e-05,1.059496427405539e-05,0.0,0.0023838473865915,0.000101918939718,0.0,-0.0010700642274913,0.0005297482137027,0.0,0.1191923693295232,0.0050959469863309,-2.1334608652256074e-17,0.001194014497767,153.66173352376777,-180.0,153.66173352376777,6.981317007977499e-05,0.0121903758121457,1525.0
0.04,-1.1574110205430408e-05,3.188964798186107e-05,7.251280965237869e-08,0.0084064120477358,4.874407574174695e-05,-6.369989471597681e-09,0.0004913587107696,0.0010647343353534,3.582215203368775e-06,0.3011282330584275,-0.0026587432095993,-2.0787983906374762e-07,0.0011726488902461,65.22739418228375,0.417703343368791,65.22739417591372,0.000142296838254,0.0179437289300873,1525.0
0.06,0.0001471809028871,6.429229568335925e-05,2.979084554145764e-07,0.0210366628427081,-0.0007218280336472,-8.860821787057746e-08,0.0079377506448596,0.0016201340230077,1.1038830041591471e-05,0.6315125397508918,-0.0385286056585909,1.5409893200011337e-06,0.0081014098407774,11.53590199935964,0.0796797471614513,11.535901910751422,0.0002172663446541,0.0226783599758625,1525.0
0.08,0.0005959727404703,0.0001082628947921,7.961407581779438e-07,0.0435909447258509,-0.0028696533446022,-5.95438461026022e-07,0.0224395921878195,0.0021985388846844,2.382170318740108e-05,1.127714093838525,-0.1073912676140559,1.4088161231998486e-05,0.022547049435717,5.59574523019878,0.0608247480300221,5.595744634760319,0.0002939856695949,0.0261735474688465,1525.0
0.1,0.001475977201348,0.0001641785543389,1.7453250606076696e-06,0.0789884904672191,-0.0070378212789504,-2.4957181563395415e-06,0.0440002253366344,0.0027958170560784,4.312840799324089e-05,1.769877282308999,-0.2084084086883612,6.354428446226256e-05,0.0440889814210449,3.6357416917972394,0.0561605070167541,3.6357391960790832,0.000370289831748,0.0284081876060583,1525.0
0.12,0.0029163574385331,0.0002322710493716,3.3967880609571664e-06,0.1293918166931124,-0.0137954491212847,-7.773781375135625e-06,0.0720190213103632,0.0034047262937686,6.90331070915348e-05,2.5201662788796853,-0.3378814348527741,0.0002019033495703,0.072099489299217,2.706664276038279,0.054920275222822,2.706656502256904,0.000441874556018,0.0294617531285721,1525.0
0.14,0.0050288529063176,0.0003126070815652,6.0883752003970525e-06,0.1960771764966606,-0.023613896193732,-1.978205966853083e-05,0.1056248021860141,0.0040170521867199,0.0001000759428831,3.3342678456119454,-0.4909224576977443,0.0005082431357828,0.1057012088875987,2.177985296051896,0.0542858052612756,2.1779655139922274,0.0005022058266938,0.0294559888405274,1525.0
0.16,0.0079062432568379,0.0004050930047563,1.0254863219644044e-05,0.2794395327169593,-0.0368619749399584,-4.3477373693273e-05,0.1438695895694711,0.0046248287617021,0.0001332037258733,4.168117322725659,-0.6624041129646072,0.0010821105781543,0.143943966831527,1.8411948742937976,0.0530481052320746,1.841151396920104,0.0005430808352949,0.0285218830115417,1525.0
0.18,0.0116229318220818,0.000509492486506,1.6434249985359086e-05,0.3790714471349137,-0.0538111473994505,-8.550725145568563e-05,0.1858345846205873,0.0052209767959612,0.0001639489377315,4.981594368874445,-0.8474587931963395,0.0020316894237709,0.1859079834731805,1.6092874637910095,0.0505480708542353,1.6092019565395537,0.0005556217601848,0.0267826899329748,1525.0
0.2,0.0162365833329035,0.0006254500903976,2.526955491314132e-05,0.4938784932047325,-0.0746452962136233,-0.0001541473645365,0.230682880047754,0.0057995869035258,0.0001867462788693,5.740349080214102,-1.0417073480847647,0.0034600038437803,0.2307558476605754,1.4401669888938955,0.046383031456037,1.4400128415293592,0.0005314298264741,0.0243466860485473,1525.0
0.22,0.021790188258309,0.0007525166514468,3.750661120943647e-05,0.622208623425322,-0.0994719460739932,-0.0002591130921086,0.2776807906479733,0.0063559947526347,0.0001953093702295,6.416499673530984,-1.2413316157601433,0.0054518255834875,0.2777535927939172,1.3112469631198294,0.0402995134882984,1.3109878500277206,0.0004636768218141,0.0213055525891733,1525.0
0.24,0.0283141989463647,0.0008901741123932,5.398883867247665e-05,0.761982249099316,-0.1283332346659205,-0.0004112778320838,0.3262014424238042,0.0068867417478999,0.0001830145659908,6.988668074947898,-1.4430619602302517,0.0080630018390322,0.3262741818556964,1.2094447715822774,0.0321456614126114,1.209033493750219,0.0003479911394028,0.0177357828042067,1525.0
0.26,0.0358285495764269,0.001037858571973,7.565014364274475e-05,0.9108155734572768,-0.1612157971214896,-0.0006223314500728,0.3757189619136189,0.0073894785642135,0.0001432593012844,7.44164258162711,-1.6441230663685555,0.011313057043258,0.3757916487338772,1.1267234280910066,0.0218465229968961,1.1261010966409335,0.000183067825285,0.0137015135595853,1525.0
0.28,0.0443444716071703,0.0011949809303355,0.0001035070026857,1.06613324888353,-0.1980592375513261,-0.000904407899051,0.4257982497343294,0.0078628454623776,6.977752804817285e-05,7.765844086785232,-1.8421634567276088,0.0151812944275069,0.4258708474226512,1.0579110254637187,0.0093893242368132,1.0570066175646675,-2.9015462861610767e-05,0.0092578332707475,1525.0
0.3,0.0538660741076252,0.0013609448772805,0.0001386505609535,1.2252685448346825,-0.2387631485175577,-0.0012697044688729,0.4760832237281125,0.0083063483292944,-4.309508735180712e-05,7.956701660083255,-2.0351830668431785,0.0196062305504115,0.4761556816789086,0.9995530120626503,-0.005186418031978,0.998283307593752,-0.0002827619689163,0.0044540322429772,1525.0
0.32,0.0643916902281469,0.0015351621693552,0.00018223930139,1.3855504544186226,-0.2831927907394885,-0.0017301082857712,0.5262851254120942,0.0087202400380255,-0.0002002073806108,8.01399954966466,-2.2214664140392295,0.0244879807559033,0.526357403196098,0.9492710507991424,-0.0217962409141688,0.9475409425133712,-0.000569466371085,-0.0006634834070811,1525.0
0.34,0.0759150073332395,0.0017170652525462,0.0002354925723977,1.544377876771815,-0.3311836161161637,-0.0022968397132229,0.5761717031274787,0.0091054110753474,-0.000405428164805,7.9412310605706145,-2.3995248616228007,0.0296931127988047,0.5762437890057187,0.905386707447286,-0.0403166604314168,0.9030898677340632,-0.000877631614044,-0.006048741692287,1525.0
0.36,0.0884260053878482,0.0019061173503809,0.0002996850295084,1.699281403666614,-0.3825448418921728,-0.0029801177625073,0.62555762543954,0.0094632901381394,-0.0006615273055536,7.744978870130305,-2.5680491839114215,0.0350614500914281,0.6256295503124596,0.8666911050984694,-0.0605902749331906,0.863710987335962,-0.0011935484521278,-0.011654260384721,1525.0
